N,sr,lr,sigma,IP,esr,kl,accuracy
1200,0.4,0.94,0.3,True,0.39999999999999647,1.515496652355485,0.305
1200,0.4,0.94,0.3,True,0.3999999999999996,1.3803137939262216,0.305
1200,0.4,0.94,0.3,True,0.39999999999999925,1.5057947976987125,0.325
1200,0.4,0.94,0.3,True,0.39999999999999986,1.3820194207031362,0.29
1200,0.4,0.94,0.3,True,0.39999999999999947,1.388984906859621,0.32
800,0.4,0.97,0.1,True,0.3999999999999991,0.09405388498721387,0.285
800,0.4,0.97,0.1,True,0.40000000000000235,0.1572936797121399,0.3
800,0.4,0.97,0.1,True,0.3999999999999989,0.09764261464375583,0.27
800,0.4,0.97,0.1,True,0.39999999999999936,0.09929559965944765,0.295
800,0.4,0.97,0.1,True,0.4000000000000011,0.0920071417640301,0.305
800,0.4,0.97,0.1,True,0.40000000000000036,0.14913132573521057,0.28
800,0.4,0.97,0.1,True,0.3999999999999988,0.05322951923822477,0.3
800,0.4,0.97,0.1,True,0.3999999999999978,0.11548069743184577,0.285
800,0.4,0.97,0.1,True,0.3999999999999997,0.06378164124693365,0.275
800,0.4,0.97,0.1,True,0.4000000000000007,0.08129885358979105,0.325
800,0.4,0.97,0.1,True,0.3999999999999979,0.18368914316080565,0.31
800,0.4,0.97,0.1,True,0.40000000000000036,0.08813265331954148,0.315
800,0.4,0.97,0.1,True,0.3999999999999987,0.1405161791807353,0.315
800,0.4,0.97,0.1,True,0.39999999999999886,0.1760690918354405,0.305
800,0.4,0.97,0.1,True,0.3999999999999994,0.17258660317927496,0.305
800,0.4,0.97,0.1,True,0.4000000000000013,0.07832137915689807,0.3
800,0.4,0.97,0.1,True,0.39999999999999997,0.2210849906080595,0.27
800,0.4,0.97,0.1,True,0.3999999999999999,0.1896267265708225,0.285
800,0.4,0.97,0.1,True,0.3999999999999987,0.12846501822343867,0.295
800,0.4,0.97,0.1,True,0.39999999999999947,0.2670358193435952,0.29
800,0.4,0.97,0.1,True,0.4000000000000016,0.1155456112748276,0.295
800,0.4,0.97,0.1,True,0.4,0.11700096771819692,0.3
